Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,PreguntaOff,PreguntaOn,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intrucion.started,text_3.started,mouse.started,Intrucion.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,text.started,Off.stopped,On.started,text_2.started,On.stopped,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.029994800000167743,0.04568830000016533,0.029696099999910075,1.465939900000194,[-0.14713541666666666],[0.15494791666666666],[1],[0],[0],[1.435196200000064],,,,,,,,922837,001,2024-04-28_10h25.52.174,ArchivoPrueba,2024.1.1,None,2024-04-28 10h26.00.941127 -0500,
,,,,,,,,,,51.48396279999997,,,,,,,,,,,,1.4781173000001218,1.5243964000001142,4.478810600000088,51.47105620000002,51.48396279999997,51.470710600000075,41.49048810000022,,,,,,,,
