Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,PreguntaOff,PreguntaOn,Colors,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,CondicionOff.started,key_resp_2.started,CondicionOff.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.0291402000002563,0.04511050000110117,0.028802900000300724,0.8683618000013666,[0.044270833333333336],[-0.049479166666666664],[1],[0],[0],[0.8382866000010836],,,,,352455,001,2024-04-28_12h17.44.645,ArchivoPrueba,2024.1.1,None,2024-04-28 12h17.58.321740 -0500,
,,,,,,,0.9071997999999439,,,,,,,,,,,,0.8821833000001789,0.9071997999999439,0.9071997999999439,1.910567599999922,,,,,,,,
