PreguntaOff,PreguntaOn,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intrucion.started,text_3.started,mouse.started,Intrucion.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,text.started,Off.stopped,On.started,text_2.started,On.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.020292000000154076,0.03690280000000712,0.019935699999678036,2.0046447000004264,[-0.15494791666666666],[0.16666666666666666],[1],[0],[0],[1.9834243999998762],,,,,,,449614,001,2024-04-28_10h11.57.836,ArchivoPrueba,2024.1.1,None,2024-04-28 10h12.06.721399 -0500,
2) ¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,2,0,0,0,0,0,0,0,0,22.043912600000112,,,,,,,,,,,,2.0165178000002015,2.0614338000000316,22.01789960000042,22.02553880000005,22.043912600000112,42.01699910000025,449614,001,2024-04-28_10h11.57.836,ArchivoPrueba,2024.1.1,None,2024-04-28 10h12.06.721399 -0500,
2) ¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,2,0,0,0,0,1,0,1,0,42.030349500000284,,,,,,,,,,,,,,,42.01745220000021,42.030349500000284,62.0164305000003,449614,001,2024-04-28_10h11.57.836,ArchivoPrueba,2024.1.1,None,2024-04-28 10h12.06.721399 -0500,
,,,,,,,,,,62.02943370000003,,,,,,,,,,,,,,,62.01678250000032,62.02943370000003,,,,,,,,,
