PreguntaOff,PreguntaOn,Colors,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,CondicionOff.started,Off.stopped,On.started,CondicionOn.started,On.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.041563000000678585,0.0627041999996436,0.04111689999990631,13.705590199999278,[-0.3893229166666667],[-0.1796875],[1],[0],[0],[13.652694399999746],,,,,,,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,0,0,0,0,0,0,0,33.786409500000445,,,,,,,,,,,,13.761675100000502,13.820780000000013,33.726388600000064,33.74824520000038,33.786409500000445,34.733246300000246,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,0,0,0,0,1,1,1,34.76618699999926,,,,,,,,,,,,,,,34.73420799999985,34.76618699999926,35.71983270000055,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,0,0,0,0,2,2,2,35.76607300000069,,,,,,,,,,,,,,,35.721127999999226,35.76607300000069,36.72151389999999,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,0,0,0,0,3,3,3,36.76400459999968,,,,,,,,,,,,,,,36.72306019999996,36.76400459999968,37.717252099999314,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,0,0,0,0,4,4,4,37.747202799999286,,,,,,,,,,,,,,,37.718528100000185,37.747202799999286,38.7135631000001,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,0,0,0,0,5,5,5,38.75518639999973,,,,,,,,,,,,,,,38.71431909999956,38.75518639999973,39.73943110000073,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,0,0,0,0,6,6,6,39.765308100000766,,,,,,,,,,,,,,,39.74014309999984,39.765308100000766,40.73030599999947,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,0,0,0,0,7,7,7,40.762677200000326,,,,,,,,,,,,,,,40.731281399999716,40.762677200000326,41.71497040000031,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,0,0,0,0,8,8,8,41.76188870000078,,,,,,,,,,,,,,,41.716482100000576,41.76188870000078,42.93708200000037,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,0,0,0,0,9,9,9,42.960367300000144,,,,,,,,,,,,,,,42.93796079999993,42.960367300000144,43.73630480000065,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,21,white,0,0,0,0,0,10,10,10,43.77465019999909,,,,,,,,,,,,,,,43.737152399999104,43.77465019999909,44.71814629999972,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,23,blue,0,0,0,0,0,11,11,11,44.74201560000074,,,,,,,,,,,,,,,44.71883379999963,44.74201560000074,45.71791940000003,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,25,yellow,0,0,0,0,0,12,12,12,45.74121539999942,,,,,,,,,,,,,,,45.71861849999914,45.74121539999942,46.73580299999958,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,27,orange,0,0,0,0,0,13,13,13,46.75746249999975,,,,,,,,,,,,,,,46.73660910000035,46.75746249999975,47.7548139999999,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,29,brown,0,0,0,0,0,14,14,14,47.816739699999744,,,,,,,,,,,,,,,47.7555854000002,47.816739699999744,48.719524099999035,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,31,purple,0,0,0,0,0,15,15,15,48.755940900000496,,,,,,,,,,,,,,,48.72070200000053,48.755940900000496,49.732718499999464,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,33,green,0,0,0,0,0,16,16,16,49.75465909999912,,,,,,,,,,,,,,,49.733972500000164,49.75465909999912,50.71753969999918,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,35,red,0,0,0,0,0,17,17,17,50.7536583000001,,,,,,,,,,,,,,,50.7193501999991,50.7536583000001,51.73283029999948,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,37,white,0,0,0,0,0,18,18,18,51.75264050000078,,,,,,,,,,,,,,,51.73366840000017,51.75264050000078,52.72004449999986,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,39,blue,0,0,0,0,0,19,19,19,52.75161350000053,,,,,,,,,,,,,,,52.720910100000765,52.75161350000053,53.709221200000684,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,1,1,1,0,0,0,0,73.80144680000012,,,,,,,,,,,,53.70996639999976,53.76643399999921,73.72205919999942,73.77765799999906,73.80144680000012,74.71884069999942,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,1,1,1,0,1,1,1,74.7503044999994,,,,,,,,,,,,,,,74.71994859999904,74.7503044999994,75.71780650000073,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,1,1,1,0,2,2,2,75.74926559999949,,,,,,,,,,,,,,,75.71885069999917,75.74926559999949,76.71309130000009,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,1,1,1,0,3,3,3,76.74742639999931,,,,,,,,,,,,,,,76.71410699999979,76.74742639999931,77.71456079999916,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,1,1,1,0,4,4,4,77.7480388999993,,,,,,,,,,,,,,,77.71563640000022,77.7480388999993,78.71283140000014,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,1,1,1,0,5,5,5,78.74646509999911,,,,,,,,,,,,,,,78.7138759999998,78.74646509999911,79.76923329999954,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,1,1,1,0,6,6,6,79.81280030000016,,,,,,,,,,,,,,,79.77239609999924,79.81280030000016,80.73250559999906,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,1,1,1,0,7,7,7,80.7791001000005,,,,,,,,,,,,,,,80.73343249999925,80.7791001000005,81.75344539999969,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,1,1,1,0,8,8,8,81.79474230000051,,,,,,,,,,,,,,,81.75799200000074,81.79474230000051,82.72253549999914,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,1,1,1,0,9,9,9,82.7595609,,,,,,,,,,,,,,,82.72377450000022,82.7595609,83.74532550000004,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,21,white,0,1,1,1,0,10,10,10,83.77547709999999,,,,,,,,,,,,,,,83.74638120000054,83.77547709999999,84.72150630000033,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,23,blue,0,1,1,1,0,11,11,11,84.75786289999996,,,,,,,,,,,,,,,84.72272759999942,84.75786289999996,85.7360250999991,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,25,yellow,0,1,1,1,0,12,12,12,85.77387939999971,,,,,,,,,,,,,,,85.73732290000044,85.77387939999971,86.7219798999995,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,27,orange,0,1,1,1,0,13,13,13,86.75621479999973,,,,,,,,,,,,,,,86.7229711,86.75621479999973,87.71578079999927,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,29,brown,0,1,1,1,0,14,14,14,87.7403861999992,,,,,,,,,,,,,,,87.71753969999918,87.7403861999992,88.73290889999953,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,31,purple,0,1,1,1,0,15,15,15,88.7537639000002,,,,,,,,,,,,,,,88.73380729999917,88.7537639000002,89.73952409999947,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,33,green,0,1,1,1,0,16,16,16,89.76948559999983,,,,,,,,,,,,,,,89.74039450000055,89.76948559999983,90.73715850000008,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,35,red,0,1,1,1,0,17,17,17,90.76851130000068,,,,,,,,,,,,,,,90.73782749999918,90.76851130000068,91.72787489999973,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,37,white,0,1,1,1,0,18,18,18,91.75324750000073,,,,,,,,,,,,,,,91.72860170000058,91.75324750000073,92.72483420000026,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,39,blue,0,1,1,1,0,19,19,19,92.75265030000082,,,,,,,,,,,,,,,92.72552189999988,92.75265030000082,93.71325479999905,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,2,2,2,0,0,0,0,113.76536920000035,,,,,,,,,,,,93.71452510000017,93.76498489999904,113.70768820000012,113.73407380000026,113.76536920000035,114.72462239999913,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,2,2,2,0,1,1,1,114.74743540000054,,,,,,,,,,,,,,,114.7252200999992,114.74743540000054,115.72097229999963,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,2,2,2,0,2,2,2,115.74661890000061,,,,,,,,,,,,,,,115.72154659999978,115.74661890000061,116.72068380000019,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,2,2,2,0,3,3,3,116.74582910000026,,,,,,,,,,,,,,,116.72125799999958,116.74582910000026,117.71896799999922,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,2,2,2,0,4,4,4,117.74488199999905,,,,,,,,,,,,,,,117.71957640000073,117.74488199999905,118.71909020000021,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,2,2,2,0,5,5,5,118.74385230000007,,,,,,,,,,,,,,,118.71957490000023,118.74385230000007,119.7206600999998,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,2,2,2,0,6,6,6,119.7436859999998,,,,,,,,,,,,,,,119.72153109999999,119.7436859999998,120.71941619999961,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,2,2,2,0,7,7,7,120.74292349999996,,,,,,,,,,,,,,,120.72024179999971,120.74292349999996,121.71867209999982,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,2,2,2,0,8,8,8,121.7420531000007,,,,,,,,,,,,,,,121.7194727999995,121.7420531000007,122.71790350000083,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,2,2,2,0,9,9,9,122.74109470000076,,,,,,,,,,,,,,,122.71862730000066,122.74109470000076,123.71688560000075,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,21,white,0,2,2,2,0,10,10,10,123.74033600000075,,,,,,,,,,,,,,,123.71765050000067,123.74033600000075,124.71639440000035,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,23,blue,0,2,2,2,0,11,11,11,124.73949080000057,,,,,,,,,,,,,,,124.71721310000066,124.73949080000057,125.71533199999976,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,25,yellow,0,2,2,2,0,12,12,12,125.7387233999998,,,,,,,,,,,,,,,125.71635570000035,125.7387233999998,126.71411570000055,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,27,orange,0,2,2,2,0,13,13,13,126.73761399999967,,,,,,,,,,,,,,,126.71491600000081,126.73761399999967,127.71332989999974,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,29,brown,0,2,2,2,0,14,14,14,127.73682879999978,,,,,,,,,,,,,,,127.71420819999912,127.73682879999978,128.71172189999925,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,31,purple,0,2,2,2,0,15,15,15,128.73602570000003,,,,,,,,,,,,,,,128.7124387999993,128.73602570000003,129.71163739999974,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,33,green,0,2,2,2,0,16,16,16,129.7349981999996,,,,,,,,,,,,,,,129.71242849999908,129.7349981999996,130.7147984000003,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,35,red,0,2,2,2,0,17,17,17,130.75144399999954,,,,,,,,,,,,,,,130.71608240000023,130.75144399999954,131.7323579999993,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,37,white,0,2,2,2,0,18,18,18,131.76706360000026,,,,,,,,,,,,,,,131.73350840000057,131.76706360000026,132.7105061000002,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,39,blue,0,2,2,2,0,19,19,19,132.73289280000063,,,,,,,,,,,,,,,132.71141100000023,132.73289280000063,133.74674099999902,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,3,3,3,0,0,0,0,153.79774139999972,,,,,,,,,,,,133.7489217000002,133.79706649999935,153.71520190000047,153.76358260000052,153.79774139999972,154.71039930000006,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,3,3,3,0,1,1,1,154.74721839999984,,,,,,,,,,,,,,,154.71168930000022,154.74721839999984,155.71264130000054,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,3,3,3,0,2,2,2,155.7465544000006,,,,,,,,,,,,,,,155.71373029999995,155.7465544000006,156.73684800000046,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,3,3,3,0,3,3,3,156.76083760000074,,,,,,,,,,,,,,,156.73751439999978,156.76083760000074,157.71494419999908,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,3,3,3,0,4,4,4,157.7442656000003,,,,,,,,,,,,,,,157.71633010000005,157.7442656000003,158.70691439999973,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,3,3,3,0,5,5,5,158.7432843000006,,,,,,,,,,,,,,,158.70812830000068,158.7432843000006,159.7485968000001,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,3,3,3,0,6,6,6,159.7922705000001,,,,,,,,,,,,,,,159.74996509999983,159.7922705000001,160.74253209999915,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,3,3,3,0,7,7,7,160.7751358000005,,,,,,,,,,,,,,,160.74371710000014,160.7751358000005,161.72072219999973,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,3,3,3,0,8,8,8,161.7576982999999,,,,,,,,,,,,,,,161.72189590000016,161.7576982999999,162.72007359999952,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,3,3,3,0,9,9,9,162.7568900999995,,,,,,,,,,,,,,,162.7212983999998,162.7568900999995,163.73348179999994,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
None,21,white,0,3,3,3,0,10,10,10,163.7555838999997,,,,,,,,,,,,,,,163.73471980000068,163.7555838999997,164.73843090000082,024780,001,2024-04-28_13h53.14.781,ArchivoPrueba,2024.1.1,None,2024-04-28 13h53.28.526944 -0500,
