Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,PreguntaOff,PreguntaOn,Colors,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,Intrucion.started,text_3.started,mouse.started,Intrucion.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,CondicionOff.started,Off.stopped,On.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.027175500000339525,0.04184629999963363,0.026803499999914493,0.678882899999735,[-0.029947916666666668],[-0.028645833333333332],[1],[0],[0],[0.6509414000001925],,,,,155312,001,2024-04-28_10h53.15.188,ArchivoPrueba,2024.1.1,None,2024-04-28 10h53.24.812138 -0500,
,,,,,,,,,,,0.7360152000001108,,,,,,,,,,,,0.6919560999995156,0.7360152000001108,3.6913070000000516,3.70130700000027,,,,,,,,
