PreguntaOn,PreguntaOff,Colors,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,On.started,CondicionOn.started,On.stopped,Off.started,CondicionOff.started,Off.stopped,On1.started,text.started,On1.stopped,On2.started,text_2.started,On2.stopped,On3.started,text_3.started,On3.stopped,On4.started,text_4.started,On4.stopped,On5.started,text_5.started,On5.stopped,On6.started,text_6.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
None,25,yellow,0,12,12,12,,,,,,,,,,,,,,,,,,,,,47.42238410000027,,,,,,,,,,,,,,,47.39329540000108,47.42238410000027,48.37751010000102,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
None,27,orange,0,13,13,13,,,,,,,,,,,,,,,,,,,,,48.40554490000068,,,,,,,,,,,,,,,48.37779800000135,48.40554490000068,49.39147100000082,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
None,29,brown,0,14,14,14,,,,,,,,,,,,,,,,,,,,,49.421083799999906,,,,,,,,,,,,,,,49.391734599999836,49.421083799999906,50.3916132000013,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
None,31,purple,0,15,15,15,,,,,,,,,,,,,,,,,,,,,50.42133130000002,,,,,,,,,,,,,,,50.39204950000021,50.42133130000002,51.37516340000002,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
None,33,green,0,16,16,16,,,,,,,,,,,,,,,,,,,,,51.402762699999585,,,,,,,,,,,,,,,51.375609599999734,51.402762699999585,52.37248780000118,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
None,35,red,0,17,17,17,,,,,,,,,,,,,,,,,,,,,52.40199340000072,,,,,,,,,,,,,,,52.37280880000071,52.40199340000072,53.37317540000004,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
None,37,white,0,18,18,18,,,,,,,,,,,,,,,,,,,,,53.401260900000125,,,,,,,,,,,,,,,53.37360090000038,53.401260900000125,54.38912490000075,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
None,39,blue,0,19,19,19,,,,,,,,,,,,,,,,,,,,,54.416689400000905,,,,,,,,,,,,,,,54.38967720000073,54.416689400000905,55.37217000000055,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.37227390000044,55.39944310000101,75.38821880000069,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,,,,,0,0,0,0,,,,,,,,,,,,,,,,,75.43226350000077,,,,,,,,,,,,,,,75.40035970000099,75.43226350000077,76.38653010000053,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
