PreguntaOn,PreguntaOff,Colors,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,On1.started,CondicionOn.started,On1.stopped,Off.started,CondicionOff.started,Off.stopped,On2.started,text.started,On2.stopped,Off2.started,text_2.started,Off2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.03541469999981928,0.05332519999865326,0.03503719999935129,1.8525828999991063,[-0.13078703703703703],[0.14467592592592593],[1],[0],[0],[1.8163067999994382],,,,,,,,,,,,,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
,,,,,,,,,,,,,,,,,,,,,,,1.8527175999988685,1.8806077999997797,21.852982299998985,,,,,,,,,,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,0,0,0,,,,,21.89385729999958,,,,,,,,,,,,,,,21.868750999999975,21.89385729999958,21.969386699998722,,,,,,,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,1,1,1,,,,,21.993213799998557,,,,,,,,,,,,,,,21.969664599999305,21.993213799998557,22.067673999999897,,,,,,,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,2,2,2,,,,,22.09375529999852,,,,,,,,,,,,,,,22.067974699999468,22.09375529999852,22.17148609999822,,,,,,,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,3,3,3,,,,,22.193904499999917,,,,,,,,,,,,,,,22.17199939999955,22.193904499999917,22.268867699998736,,,,,,,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,4,4,4,,,,,22.29312899999968,,,,,,,,,,,,,,,22.269226099999287,22.29312899999968,22.36708979999821,,,,,,,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,5,5,5,,,,,22.396094099998663,,,,,,,,,,,,,,,22.36741119999897,22.396094099998663,22.45315059999848,,,,,,,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,6,6,6,,,,,22.479129499999544,,,,,,,,,,,,,,,22.453422299999147,22.479129499999544,22.569661599998653,,,,,,,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,7,7,7,,,,,22.59596639999836,,,,,,,,,,,,,,,22.569978499999706,22.59596639999836,22.67000839999855,,,,,,,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,8,8,8,,,,,22.695789699999295,,,,,,,,,,,,,,,22.670300299998416,22.695789699999295,22.753210599999875,,,,,,,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,9,9,9,,,,,22.778879399998914,,,,,,,,,,,,,,,22.75348119999944,22.778879399998914,22.870862199999465,,,,,,,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
None,21,white,0,10,10,10,,,,,22.893403599999147,,,,,,,,,,,,,,,22.87120849999883,22.893403599999147,22.970549099998607,,,,,,,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
None,23,blue,0,11,11,11,,,,,22.99581489999946,,,,,,,,,,,,,,,22.9708531999986,22.99581489999946,23.070943599999737,,,,,,,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
None,25,yellow,0,12,12,12,,,,,23.095871499999703,,,,,,,,,,,,,,,23.07133409999915,23.095871499999703,23.170866999998907,,,,,,,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
None,27,orange,0,13,13,13,,,,,23.195576199999778,,,,,,,,,,,,,,,23.171281899998576,23.195576199999778,23.26974279999922,,,,,,,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
None,29,brown,0,14,14,14,,,,,23.29528929999833,,,,,,,,,,,,,,,23.27013899999838,23.29528929999833,23.370469599998614,,,,,,,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
None,31,purple,0,15,15,15,,,,,23.39628299999822,,,,,,,,,,,,,,,23.370732999999746,23.39628299999822,23.4704387999991,,,,,,,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
None,33,green,0,16,16,16,,,,,23.4959216999996,,,,,,,,,,,,,,,23.470705099998668,23.4959216999996,23.57220099999904,,,,,,,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
None,35,red,0,17,17,17,,,,,23.595766899999944,,,,,,,,,,,,,,,23.57292629999938,23.595766899999944,23.714508999999452,,,,,,,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
None,37,white,0,18,18,18,,,,,23.748271399999794,,,,,,,,,,,,,,,23.715342399998917,23.748271399999794,23.75526869999885,,,,,,,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
None,39,blue,0,19,19,19,,,,,23.791485399999146,,,,,,,,,,,,,,,23.756433099999413,23.791485399999146,23.90401159999965,,,,,,,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.90418999999929,23.93962509999983,43.86557819999871,,,,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
None,29,brown,,,,,0,0,0,14,43.90862949999973,,,,,,,,,,,,,,,,,,,,,43.87886439999966,43.90862949999973,44.87581779999891,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
None,35,red,,,,,0,1,1,17,44.91371679999975,,,,,,,,,,,,,,,,,,,,,44.8764044999989,44.91371679999975,45.86498389999906,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
None,39,blue,,,,,0,2,2,19,45.8978679999982,,,,,,,,,,,,,,,,,,,,,45.8652777999996,45.8978679999982,46.861934599999586,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
None,31,purple,,,,,0,3,3,15,46.89558709999983,,,,,,,,,,,,,,,,,,,,,46.86223759999848,46.89558709999983,47.8807659999984,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,,,,,0,4,4,5,47.912744699999166,,,,,,,,,,,,,,,,,,,,,47.881085600000006,47.912744699999166,48.86390009999923,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,,,,,0,5,5,7,48.91230899999937,,,,,,,,,,,,,,,,,,,,,48.86444929999925,48.91230899999937,49.87341259999994,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
None,27,orange,,,,,0,6,6,13,49.895919099999446,,,,,,,,,,,,,,,,,,,,,49.87376949999998,49.895919099999446,50.863197699998636,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,,,,,0,7,7,0,50.89319649999925,,,,,,,,,,,,,,,,,,,,,50.86353389999931,50.89319649999925,51.85954639999909,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
None,37,white,,,,,0,8,8,18,51.888769299999694,,,,,,,,,,,,,,,,,,,,,51.85986109999976,51.888769299999694,52.85487019999891,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,,,,,0,9,9,6,52.86821869999949,,,,,,,,,,,,,,,,,,,,,52.855243099998916,52.86821869999949,53.87154519999967,024178,001,2024-04-30_17h28.10.431,ArchivoPrueba,2024.1.1,None,2024-04-30 17h28.27.352810 -0500,
