PreguntaOff,PreguntaOn,Colors,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,CondicionOff.started,Off.stopped,On.started,CondicionOn.started,On.stopped,FInalizacion.started,FinPrueba.started,FInalizacion.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.06148419999954058,0.0771521999995457,0.061045000000376604,2.326181700000234,[-0.13541666666666666],[0.171875],[1],[0],[0],[2.2627628999998706],,,,,,,,,,012346,001,2024-04-28_12h41.59.549,ArchivoPrueba,2024.1.1,None,2024-04-28 12h42.11.651648 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,0,0,0,0,0,0,0,3.4242453999995632,,,,,,,,,,,,2.3561356000009255,2.4084675000012794,3.3538330999999744,3.3837438999998994,3.4242453999995632,3.4352689999996073,,,,012346,001,2024-04-28_12h41.59.549,ArchivoPrueba,2024.1.1,None,2024-04-28 12h42.11.651648 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,0,0,0,0,1,1,1,3.475424700000076,,,,,,,,,,,,,,,3.4361461000007694,3.475424700000076,3.55697230000078,,,,012346,001,2024-04-28_12h41.59.549,ArchivoPrueba,2024.1.1,None,2024-04-28 12h42.11.651648 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,0,0,0,0,2,2,2,3.5913706999999704,,,,,,,,,,,,,,,3.5580391000003146,3.5913706999999704,3.640491000000111,,,,012346,001,2024-04-28_12h41.59.549,ArchivoPrueba,2024.1.1,None,2024-04-28 12h42.11.651648 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,0,0,0,0,3,3,3,3.674298899999485,,,,,,,,,,,,,,,3.641575900001044,3.674298899999485,3.755950799999482,,,,012346,001,2024-04-28_12h41.59.549,ArchivoPrueba,2024.1.1,None,2024-04-28 12h42.11.651648 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,0,0,0,0,4,4,4,3.791129600000204,,,,,,,,,,,,,,,3.7570890999995754,3.791129600000204,3.8406578000012814,,,,012346,001,2024-04-28_12h41.59.549,ArchivoPrueba,2024.1.1,None,2024-04-28 12h42.11.651648 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,0,0,0,0,5,5,5,3.876208499999848,,,,,,,,,,,,,,,3.8417659000006097,3.876208499999848,3.958995099999811,,,,012346,001,2024-04-28_12h41.59.549,ArchivoPrueba,2024.1.1,None,2024-04-28 12h42.11.651648 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,0,0,0,0,6,6,6,3.9923816999998962,,,,,,,,,,,,,,,3.9600004000003537,3.9923816999998962,4.042196700000204,,,,012346,001,2024-04-28_12h41.59.549,ArchivoPrueba,2024.1.1,None,2024-04-28 12h42.11.651648 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,0,0,0,0,7,7,7,4.075622500000463,,,,,,,,,,,,,,,4.043268200000966,4.075622500000463,4.153760900000634,,,,012346,001,2024-04-28_12h41.59.549,ArchivoPrueba,2024.1.1,None,2024-04-28 12h42.11.651648 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,0,0,0,0,8,8,8,4.191884500000015,,,,,,,,,,,,,,,4.155332600001202,4.191884500000015,4.239513100001204,,,,012346,001,2024-04-28_12h41.59.549,ArchivoPrueba,2024.1.1,None,2024-04-28 12h42.11.651648 -0500,
