PreguntaOff,PreguntaOn,Colors,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,CondicionOff.started,Off.stopped,On.started,CondicionOn.started,On.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.026337799999964773,0.04047889999947074,0.026019799999630777,9.503189399999428,[-0.15364583333333334],[0.16796875],[1],[0],[0],[9.475907900000493],,,,,,,802947,001,2024-04-28_11h11.51.726,ArchivoPrueba,2024.1.1,None,2024-04-28 11h12.01.804879 -0500,
¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,0,0,0,0,0,0,0,12.541772499999752,,,,,,,,,,,,9.514395899999727,9.544646700000158,12.515749000000142,12.525783899999624,12.541772499999752,13.514728099999957,802947,001,2024-04-28_11h11.51.726,ArchivoPrueba,2024.1.1,None,2024-04-28 11h12.01.804879 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,0,0,0,0,1,1,1,13.540566800000306,,,,,,,,,,,,,,,13.515032000000247,13.540566800000306,14.513589899999715,802947,001,2024-04-28_11h11.51.726,ArchivoPrueba,2024.1.1,None,2024-04-28 11h12.01.804879 -0500,
¿Hay algún inconveniente que recuerde haber experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,0,0,0,0,2,2,2,14.539760800000295,,,,,,,,,,,,,,,14.51391489999969,14.539760800000295,15.513085699999465,802947,001,2024-04-28_11h11.51.726,ArchivoPrueba,2024.1.1,None,2024-04-28 11h12.01.804879 -0500,
¿recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,0,0,0,0,3,3,3,15.539063100000021,,,,,,,,,,,,,,,15.513485599999512,15.539063100000021,16.513152100000298,802947,001,2024-04-28_11h11.51.726,ArchivoPrueba,2024.1.1,None,2024-04-28 11h12.01.804879 -0500,
,,,,,,,,,,,16.537887200000114,,,,,,,,,,,,,,,16.513458899999932,16.537887200000114,,,,,,,,,
