PreguntaOff,PreguntaOn,Colors,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,CondicionOff.started,Off.stopped,On.started,On.stopped,CondicionOn.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
None,31,purple,0,0,0,0,0,15,15,15,10.460806900000534,,,,,,,,,,,,,,,10.417416899999807,10.54093869999997,10.460806900000534,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,33,green,0,0,0,0,0,16,16,16,10.5944614,,,,,,,,,,,,,,,10.542304500000682,10.624082100001033,10.5944614,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,35,red,0,0,0,0,0,17,17,17,10.678019299999505,,,,,,,,,,,,,,,10.626087300001018,10.725722600000154,10.678019299999505,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,37,white,0,0,0,0,0,18,18,18,10.760648299999957,,,,,,,,,,,,,,,10.726516500000798,10.835604300000341,10.760648299999957,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,39,blue,0,0,0,0,0,19,19,19,10.876571400000103,,,,,,,,,,,,,,,10.837975800001004,10.947850700000345,10.876571400000103,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,1,1,1,0,0,0,0,12.045117600000594,,,,,,,,,,,,10.949470400000791,11.02552950000063,11.932913000000553,11.983504800000446,12.051028699999733,12.045117600000594,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,1,1,1,0,1,1,1,12.090476000001217,,,,,,,,,,,,,,,12.051742999999988,12.122976000000563,12.090476000001217,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,1,1,1,0,2,2,2,12.19313880000118,,,,,,,,,,,,,,,12.127592000000732,12.225181499999962,12.19313880000118,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,1,1,1,0,3,3,3,12.275936600000932,,,,,,,,,,,,,,,12.226957299999412,12.30901780000022,12.275936600000932,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,1,1,1,0,4,4,4,12.381148800001029,,,,,,,,,,,,,,,12.31228370000099,12.413912699999855,12.381148800001029,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,1,1,1,0,5,5,5,12.447634600001038,,,,,,,,,,,,,,,12.415427899999486,12.527235699999437,12.447634600001038,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,1,1,1,0,6,6,6,12.59472790000109,,,,,,,,,,,,,,,12.529802999999447,12.629206699999486,12.59472790000109,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,1,1,1,0,7,7,7,12.692873699999836,,,,,,,,,,,,,,,12.631692599999951,12.72556319999967,12.692873699999836,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,1,1,1,0,8,8,8,12.762028500001179,,,,,,,,,,,,,,,12.728118700000778,12.841162300001088,12.762028500001179,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,1,1,1,0,9,9,9,12.89236830000118,,,,,,,,,,,,,,,12.842992600000798,12.926154200000383,12.89236830000118,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,21,white,0,1,1,1,0,10,10,10,12.988350800000262,,,,,,,,,,,,,,,12.92905140000039,13.035787099999652,12.988350800000262,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
