PreguntaOn,PreguntaOff,Colors,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,On.started,CondicionOn.started,On.stopped,Off.started,CondicionOff.started,Off.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
None,31,purple,0,0,0,0,0,15,15,15,9.354816699997173,,,,,,,,,,,,,,,9.324310800002422,9.354816699997173,9.426123099998222,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,33,green,0,0,0,0,0,16,16,16,9.471250800001144,,,,,,,,,,,,,,,9.427476800003205,9.471250800001144,9.517776699998649,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,35,red,0,0,0,0,0,17,17,17,9.554786100001365,,,,,,,,,,,,,,,9.519178200003807,9.554786100001365,9.624793599999975,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,37,white,0,0,0,0,0,18,18,18,9.67093510000268,,,,,,,,,,,,,,,9.626065700002073,9.67093510000268,9.737449300002481,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,39,blue,0,0,0,0,0,19,19,19,9.770977699998184,,,,,,,,,,,,,,,9.738608200001181,9.770977699998184,9.837971499997366,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,1,1,1,0,0,0,0,10.886588599998504,,,,,,,,,,,,9.839341600003536,9.901265000000421,10.810621099997661,10.853022299997974,10.886588599998504,10.903327799998806,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,1,1,1,0,1,1,1,10.93670209999982,,,,,,,,,,,,,,,10.9047642000005,10.93670209999982,11.022865700004331,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,1,1,1,0,2,2,2,11.069669299999077,,,,,,,,,,,,,,,11.024048300001596,11.069669299999077,11.123477100001764,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,1,1,1,0,3,3,3,11.169493800000055,,,,,,,,,,,,,,,11.12490180000168,11.169493800000055,11.21983850000106,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,1,1,1,0,4,4,4,11.252761199997622,,,,,,,,,,,,,,,11.220982200000435,11.252761199997622,11.29997960000037,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,1,1,1,0,5,5,5,11.336382699999376,,,,,,,,,,,,,,,11.301902200000768,11.336382699999376,11.40455110000039,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,1,1,1,0,6,6,6,11.436096400000679,,,,,,,,,,,,,,,11.405625999999756,11.436096400000679,11.503804799998761,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,1,1,1,0,7,7,7,11.536131200002274,,,,,,,,,,,,,,,11.504890800002613,11.536131200002274,11.603170900001714,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,1,1,1,0,8,8,8,11.635894200000621,,,,,,,,,,,,,,,11.604219300003024,11.635894200000621,11.73699409999972,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,1,1,1,0,9,9,9,11.769456300004094,,,,,,,,,,,,,,,11.738155999999435,11.769456300004094,11.795984399999725,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,21,white,0,1,1,1,0,10,10,10,11.852524100002483,,,,,,,,,,,,,,,11.798054700004286,11.852524100002483,11.928377600001113,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,23,blue,0,1,1,1,0,11,11,11,11.969112500002666,,,,,,,,,,,,,,,11.92964419999771,11.969112500002666,12.04111759999796,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,25,yellow,0,1,1,1,0,12,12,12,12.086180500002229,,,,,,,,,,,,,,,12.0423568000042,12.086180500002229,12.107428299997991,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,27,orange,0,1,1,1,0,13,13,13,12.152840299997479,,,,,,,,,,,,,,,12.109205799999472,12.152840299997479,12.224056200000632,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,29,brown,0,1,1,1,0,14,14,14,12.26841389999754,,,,,,,,,,,,,,,12.225416699999187,12.26841389999754,12.320887499998207,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,31,purple,0,1,1,1,0,15,15,15,12.368425599997863,,,,,,,,,,,,,,,12.322297700004128,12.368425599997863,12.423643300004187,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,33,green,0,1,1,1,0,16,16,16,12.46864220000134,,,,,,,,,,,,,,,12.425625000003492,12.46864220000134,12.519804900002782,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,35,red,0,1,1,1,0,17,17,17,12.551918400000432,,,,,,,,,,,,,,,12.521233100000245,12.551918400000432,12.620110000003478,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,37,white,0,1,1,1,0,18,18,18,12.652034500002628,,,,,,,,,,,,,,,12.621243499997945,12.652034500002628,12.721016299998155,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,39,blue,0,1,1,1,0,19,19,19,12.751811900001485,,,,,,,,,,,,,,,12.72211960000277,12.751811900001485,12.815173800001503,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,2,2,2,0,0,0,0,13.900716199997987,,,,,,,,,,,,12.81768490000104,12.882116599997971,13.835933599999407,13.870446900000388,13.900716199997987,13.917732599998999,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,2,2,2,0,1,1,1,13.95072490000166,,,,,,,,,,,,,,,13.918798500002595,13.95072490000166,14.021618300001137,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,2,2,2,0,2,2,2,14.067355099999986,,,,,,,,,,,,,,,14.022934799999348,14.067355099999986,14.138879500002076,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,2,2,2,0,3,3,3,14.183808900001168,,,,,,,,,,,,,,,14.140475200001674,14.183808900001168,14.204165900002408,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,2,2,2,0,4,4,4,14.250090599998657,,,,,,,,,,,,,,,14.205455499999516,14.250090599998657,14.332647199997155,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,2,2,2,0,5,5,5,14.384096800000407,,,,,,,,,,,,,,,14.334472800001095,14.384096800000407,14.403666899997916,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
