PreguntaOff,PreguntaOn,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intrucion.started,text_3.started,mouse.started,Intrucion.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,text.started,Off.stopped,On.started,text_2.started,On.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.023546500000065862,0.036683300000277086,0.023155100000167295,1.139755900000182,[-0.15234375],[0.17447916666666666],[1],[0],[0],[1.115401699999893],,,,,,,727468,001,2024-04-28_10h29.48.994,ArchivoPrueba,2024.1.1,None,2024-04-28 10h29.58.421737 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,0,0,0,0,4.165347200000269,,,,,,,,,,,,1.1518126999999367,1.197823900000003,4.152523900000233,4.153233700000328,4.165347200000269,5.151434800000061,727468,001,2024-04-28_10h29.48.994,ArchivoPrueba,2024.1.1,None,2024-04-28 10h29.58.421737 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,1,0,1,0,5.164498000000094,,,,,,,,,,,,,,,5.151905600000191,5.164498000000094,6.150307800000064,727468,001,2024-04-28_10h29.48.994,ArchivoPrueba,2024.1.1,None,2024-04-28 10h29.58.421737 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,2,0,2,0,6.163776800000051,,,,,,,,,,,,,,,6.150673500000266,6.163776800000051,7.149606400000266,727468,001,2024-04-28_10h29.48.994,ArchivoPrueba,2024.1.1,None,2024-04-28 10h29.58.421737 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,3,0,3,0,7.162909500000296,,,,,,,,,,,,,,,7.150016999999934,7.162909500000296,8.148382800000036,727468,001,2024-04-28_10h29.48.994,ArchivoPrueba,2024.1.1,None,2024-04-28 10h29.58.421737 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,4,0,4,0,8.161994600000071,,,,,,,,,,,,,,,8.148739900000237,8.161994600000071,9.147527699999955,727468,001,2024-04-28_10h29.48.994,ArchivoPrueba,2024.1.1,None,2024-04-28 10h29.58.421737 -0500,
,,,,,,,,,,9.161119300000337,,,,,,,,,,,,,,,9.147924100000182,9.161119300000337,,,,,,,,,
