PreguntaOn,PreguntaOff,Colors,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,On1.started,CondicionOn.started,On1.stopped,Off.started,CondicionOff.started,Off.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
None,37,white,0,0,0,0,0,18,18,18,59.721639700001106,,,,,,,,,,,,,,,59.691588699999556,59.721639700001106,60.19097210000109,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
None,39,blue,0,0,0,0,0,19,19,19,60.220648399999845,,,,,,,,,,,,,,,60.191428399999495,60.220648399999845,60.676343000001,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,1,1,1,0,0,0,0,80.72002729999986,,,,,,,,,,,,60.67677840000033,60.70070029999988,80.69034570000076,80.70159779999994,80.72002729999986,81.17271290000099,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,1,1,1,0,1,1,1,81.20224869999947,,,,,,,,,,,,,,,81.17306070000086,81.20224869999947,81.67632410000078,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,1,1,1,0,2,2,2,81.70200590000059,,,,,,,,,,,,,,,81.6766306999998,81.70200590000059,82.17540080000072,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,1,1,1,0,3,3,3,82.2015236999996,,,,,,,,,,,,,,,82.17573620000076,82.2015236999996,82.67497089999961,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,1,1,1,0,4,4,4,82.70117399999981,,,,,,,,,,,,,,,82.67532179999944,82.70117399999981,83.17503419999957,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,1,1,1,0,5,5,5,83.20077859999947,,,,,,,,,,,,,,,83.17534780000096,83.20077859999947,83.67370570000094,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
,,,,,,,,,,,83.70016880000003,,,,,,,,,,,,,,,83.67400769999949,83.70016880000003,,,,,,,,,
