PreguntaOff,PreguntaOn,Colors,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,CondicionOff.started,Off.stopped,On.started,CondicionOn.started,On.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.061139100000218605,0.08494310000060068,0.060759300000427174,3.135604600000079,[-0.14322916666666666],[0.17057291666666666],[1],[0],[0],[3.0725364000008994],,,,,,,070615,001,2024-04-28_12h36.45.408,ArchivoPrueba,2024.1.1,None,2024-04-28 12h36.55.819701 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,0,0,0,0,0,0,0,4.2149394000007305,,,,,,,,,,,,3.1704911000015272,3.2324060999999347,4.14665050000076,4.175536500000817,4.2149394000007305,4.271150200000193,070615,001,2024-04-28_12h36.45.408,ArchivoPrueba,2024.1.1,None,2024-04-28 12h36.55.819701 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,0,0,0,0,1,1,1,4.3144056000001,,,,,,,,,,,,,,,4.272902400000021,4.3144056000001,4.362961500000893,070615,001,2024-04-28_12h36.45.408,ArchivoPrueba,2024.1.1,None,2024-04-28 12h36.55.819701 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,0,0,0,0,2,2,2,4.398331899999903,,,,,,,,,,,,,,,4.364421300000686,4.398331899999903,4.447382500000458,070615,001,2024-04-28_12h36.45.408,ArchivoPrueba,2024.1.1,None,2024-04-28 12h36.55.819701 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,0,0,0,0,3,3,3,4.4809745000002295,,,,,,,,,,,,,,,4.448597500000687,4.4809745000002295,4.563296199999968,070615,001,2024-04-28_12h36.45.408,ArchivoPrueba,2024.1.1,None,2024-04-28 12h36.55.819701 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,0,0,0,0,4,4,4,4.5979088000003685,,,,,,,,,,,,,,,4.564480800001547,4.5979088000003685,4.646720800001276,070615,001,2024-04-28_12h36.45.408,ArchivoPrueba,2024.1.1,None,2024-04-28 12h36.55.819701 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,0,0,0,0,5,5,5,4.682527000000846,,,,,,,,,,,,,,,4.648401600001307,4.682527000000846,4.764074700000492,070615,001,2024-04-28_12h36.45.408,ArchivoPrueba,2024.1.1,None,2024-04-28 12h36.55.819701 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,0,0,0,0,6,6,6,4.799078800000643,,,,,,,,,,,,,,,4.765341100001024,4.799078800000643,4.844196699999884,070615,001,2024-04-28_12h36.45.408,ArchivoPrueba,2024.1.1,None,2024-04-28 12h36.55.819701 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,0,0,0,0,7,7,7,4.882203300001493,,,,,,,,,,,,,,,4.845682500001203,4.882203300001493,4.963501199999882,070615,001,2024-04-28_12h36.45.408,ArchivoPrueba,2024.1.1,None,2024-04-28 12h36.55.819701 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,0,0,0,0,8,8,8,4.998779200001081,,,,,,,,,,,,,,,4.9648107000011805,4.998779200001081,5.047037800000908,070615,001,2024-04-28_12h36.45.408,ArchivoPrueba,2024.1.1,None,2024-04-28 12h36.55.819701 -0500,
