PreguntaOff,PreguntaOn,Colors,Conteo,conteoRegresivo.thisRepN,conteoRegresivo.thisTrialN,conteoRegresivo.thisN,conteoRegresivo.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,comienzo.started,InicioConteo.started,comienzo.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.017281699999330158,0.043472100000144565,0.016926100000091537,1.3007244000000355,[-0.078125],[0.12890625],[1],[0],[0],[1.282640899999933],,,,798780,001,2024-04-28_11h21.40.577,ArchivoPrueba,2024.1.1,None,2024-04-28 11h21.49.026395 -0500,
¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,Comenzamos en : 1,0,0,0,0,1.3422931999994034,,,,,,,,,,,,1.312269699999888,1.3422931999994034,2.3151193999992756,798780,001,2024-04-28_11h21.40.577,ArchivoPrueba,2024.1.1,None,2024-04-28 11h21.49.026395 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,Comenzamos en : 2,0,1,1,1,2.3416301999995994,,,,,,,,,,,,2.315418999999565,2.3416301999995994,3.3146776999992653,798780,001,2024-04-28_11h21.40.577,ArchivoPrueba,2024.1.1,None,2024-04-28 11h21.49.026395 -0500,
¿Hay algún inconveniente que recuerde haber experimentado en el camino de su residencia a su lugar de trabajo?,5,white,Comenzamos en : 3,0,2,2,2,3.340491399999337,,,,,,,,,,,,3.314984900000127,3.340491399999337,4.31351739999991,798780,001,2024-04-28_11h21.40.577,ArchivoPrueba,2024.1.1,None,2024-04-28 11h21.49.026395 -0500,
¿recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,None,0,3,3,3,4.3263327999993635,,,,,,,,,,,,4.313794799999414,4.3263327999993635,5.312562199999775,798780,001,2024-04-28_11h21.40.577,ArchivoPrueba,2024.1.1,None,2024-04-28 11h21.49.026395 -0500,
" ¿Puede recordar el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,None,0,4,4,4,5.325582699999359,,,,,,,,,,,,5.312931399999798,5.325582699999359,6.312296299999616,798780,001,2024-04-28_11h21.40.577,ArchivoPrueba,2024.1.1,None,2024-04-28 11h21.49.026395 -0500,
,,,,,,,,6.341560999999274,,,,,,,,,,,,6.312594699999863,6.341560999999274,,,,,,,,,
