PreguntaOn,PreguntaOff,Colors,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,On.started,CondicionOn.started,On.stopped,Off.started,CondicionOff.started,Off.stopped,On1.started,text.started,On1.stopped,On2.started,text_2.started,On2.stopped,On3.started,text_3.started,On3.stopped,On4.started,text_4.started,On4.stopped,On5.started,text_5.started,On5.stopped,On6.started,text_6.started,On6.stopped,On7.started,text_7.started,On7.stopped,On8.started,text_8.started,On8.stopped,On9.started,text_9.started,On9.stopped,FInalizacion.started,FinPrueba.started,mouse_2.started,FInalizacion.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.26461949999975,,,,,,,,,,,,,,,37.23700699999972,37.26461949999975,38.233712899998864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.263866999999664,,,,,,,,,,,,,,,38.234014300000126,38.263866999999664,39.234781099999964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
None,21,white,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.25962849999996,,,,,,,,,,,,,,,39.23507319999953,39.25962849999996,40.23193629999878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
None,23,blue,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.261495200000354,,,,,,,,,,,,,,,40.23230259999946,40.261495200000354,41.23322459999872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
None,25,yellow,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.26057199999923,,,,,,,,,,,,,,,41.23351509999884,41.26057199999923,42.232099499999094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
None,27,orange,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.260053699999844,,,,,,,,,,,,,,,42.23246819999986,42.260053699999844,43.23109739999927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
None,29,brown,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.25909299999876,,,,,,,,,,,,,,,43.23136539999905,43.25909299999876,44.2457529000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
None,31,purple,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.27475509999931,,,,,,,,,,,,,,,44.24602489999961,44.27475509999931,45.24440390000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
None,33,green,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.27393959999972,,,,,,,,,,,,,,,45.24469979999958,45.27393959999972,46.24503679999907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
None,35,red,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.27336439999999,,,,,,,,,,,,,,,46.24532240000008,46.27336439999999,47.22839449999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
