PreguntaOn,PreguntaOff,Colors,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,On1.started,CondicionOn.started,On1.stopped,Off.started,CondicionOff.started,Off.stopped,On2.started,text.started,On2.stopped,Off2.started,text_2.started,Off2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.02824259999943024,0.051495300000169664,0.027858399998876848,1.7055853000001662,[0.017361111111111112],[-0.020833333333333332],[1],[0],[0],[1.6762688999988313],,,,,,,,,,,,,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
,,,,,,,,,,,,,,,,,,,,,,,1.705763100000695,1.7429871000003914,21.71583439999995,,,,,,,,,,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,0,0,0,,,,,21.755046599999332,,,,,,,,,,,,,,,21.72830470000008,21.755046599999332,22.211437300000398,,,,,,,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,1,1,1,,,,,22.23792660000072,,,,,,,,,,,,,,,22.212052999999287,22.23792660000072,22.714910400000008,,,,,,,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,2,2,2,,,,,22.73699409999972,,,,,,,,,,,,,,,22.715189700000337,22.73699409999972,23.21374260000084,,,,,,,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,3,3,3,,,,,23.237134299999525,,,,,,,,,,,,,,,23.214048300000286,23.237134299999525,23.71026720000009,,,,,,,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,4,4,4,,,,,23.73637079999935,,,,,,,,,,,,,,,23.710606099999495,23.73637079999935,24.226418199999898,,,,,,,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,5,5,5,,,,,24.255978099999993,,,,,,,,,,,,,,,24.22676970000066,24.255978099999993,24.70911200000046,,,,,,,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,6,6,6,,,,,24.738781399999425,,,,,,,,,,,,,,,24.70941110000058,24.738781399999425,25.225361599999815,,,,,,,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,7,7,7,,,,,25.254947999999786,,,,,,,,,,,,,,,25.225705700000617,25.254947999999786,25.711774800000057,,,,,,,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
