PreguntaOn,PreguntaOff,Colors,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,On1.started,CondicionOn.started,On1.stopped,Off.started,CondicionOff.started,Off.stopped,On2.started,text.started,On2.stopped,Off2.started,text_2.started,Off2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,8,8,8,,,,,25.73800780000056,,,,,,,,,,,,,,,25.712044899999455,25.73800780000056,26.21143590000065,,,,,,,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,9,9,9,,,,,26.237701000000015,,,,,,,,,,,,,,,26.21170069999971,26.237701000000015,26.710866600000372,,,,,,,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
None,21,white,0,10,10,10,,,,,26.733589199999187,,,,,,,,,,,,,,,26.711152500000026,26.733589199999187,27.210320000000138,,,,,,,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
None,23,blue,0,11,11,11,,,,,27.236678400000528,,,,,,,,,,,,,,,27.21069119999993,27.236678400000528,27.706650199999785,,,,,,,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
None,25,yellow,0,12,12,12,,,,,27.735824600000342,,,,,,,,,,,,,,,27.7071262999998,27.735824600000342,28.22330350000084,,,,,,,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
None,27,orange,0,13,13,13,,,,,28.252299100000528,,,,,,,,,,,,,,,28.223570500000278,28.252299100000528,28.723058100000344,,,,,,,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
None,29,brown,0,14,14,14,,,,,28.751798400000553,,,,,,,,,,,,,,,28.72334899999987,28.751798400000553,29.20848599999954,,,,,,,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
None,31,purple,0,15,15,15,,,,,29.23521249999976,,,,,,,,,,,,,,,29.20885239999916,29.23521249999976,29.70830829999977,,,,,,,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
None,33,green,0,16,16,16,,,,,29.734124200000224,,,,,,,,,,,,,,,29.70857160000014,29.734124200000224,30.20794139999998,,,,,,,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
None,35,red,0,17,17,17,,,,,30.234325999999783,,,,,,,,,,,,,,,30.208263200000147,30.234325999999783,30.707597500000702,,,,,,,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
None,37,white,0,18,18,18,,,,,30.73337729999912,,,,,,,,,,,,,,,30.707883499999298,30.73337729999912,31.22075439999935,,,,,,,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
None,39,blue,0,19,19,19,,,,,31.249739599999884,,,,,,,,,,,,,,,31.22104229999968,31.249739599999884,31.72434280000016,,,,,,,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.72446459999992,31.749568100000033,51.71981769999911,,,,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,,,,,0,0,0,0,51.7464602,,,,,,,,,,,,,,,,,,,,,51.731317699999636,51.7464602,52.73520129999997,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,,,,,0,1,1,1,52.76153569999951,,,,,,,,,,,,,,,,,,,,,52.735625999999684,52.76153569999951,53.72085100000004,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,,,,,0,2,2,2,53.74378959999922,,,,,,,,,,,,,,,,,,,,,53.7211456999994,53.74378959999922,54.71958540000014,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,,,,,0,3,3,3,54.742867099999785,,,,,,,,,,,,,,,,,,,,,54.71989779999967,54.742867099999785,55.719618700000865,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,,,,,0,4,4,4,55.74189359999946,,,,,,,,,,,,,,,,,,,,,55.71997100000044,55.74189359999946,56.71679799999947,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,,,,,0,5,5,5,56.74647980000009,,,,,,,,,,,,,,,,,,,,,56.71717910000007,56.74647980000009,57.72081810000054,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,,,,,0,6,6,6,57.74061040000015,,,,,,,,,,,,,,,,,,,,,57.72109230000024,57.74061040000015,58.71080950000032,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,,,,,0,7,7,7,58.723906299999726,,,,,,,,,,,,,,,,,,,,,58.71110109999972,58.723906299999726,59.710927100000845,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,,,,,0,8,8,8,59.7400820999992,,,,,,,,,,,,,,,,,,,,,59.71152450000045,59.7400820999992,60.72192519999953,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,,,,,0,9,9,9,60.78380379999908,,,,,,,,,,,,,,,,,,,,,60.72252660000049,60.78380379999908,61.710077399999136,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
None,21,white,,,,,0,10,10,10,61.73537170000054,,,,,,,,,,,,,,,,,,,,,61.710424999999304,61.73537170000054,62.70766840000033,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
None,23,blue,,,,,0,11,11,11,62.72049390000029,,,,,,,,,,,,,,,,,,,,,62.70796689999952,62.72049390000029,63.70717909999985,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
None,25,yellow,,,,,0,12,12,12,63.71999160000087,,,,,,,,,,,,,,,,,,,,,63.70747409999967,63.71999160000087,64.70666589999928,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
None,27,orange,,,,,0,13,13,13,64.73496929999965,,,,,,,,,,,,,,,,,,,,,64.70703519999915,64.73496929999965,65.72179700000015,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
None,29,brown,,,,,0,14,14,14,65.73437259999992,,,,,,,,,,,,,,,,,,,,,65.72212369999943,65.73437259999992,66.72211839999909,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
None,31,purple,,,,,0,15,15,15,66.75025839999944,,,,,,,,,,,,,,,,,,,,,66.72269439999945,66.75025839999944,67.71998200000053,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
None,33,green,,,,,0,16,16,16,67.73299240000051,,,,,,,,,,,,,,,,,,,,,67.72041360000003,67.73299240000051,68.71967819999918,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
None,35,red,,,,,0,17,17,17,68.74864290000005,,,,,,,,,,,,,,,,,,,,,68.72004279999965,68.74864290000005,69.7208967000006,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
None,37,white,,,,,0,18,18,18,69.74756490000073,,,,,,,,,,,,,,,,,,,,,69.72155659999953,69.74756490000073,70.71703929999967,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
None,39,blue,,,,,0,19,19,19,70.74614099999962,,,,,,,,,,,,,,,,,,,,,70.71759120000024,70.74614099999962,71.71754390000024,023438,001,2024-04-30_17h31.54.993,ArchivoPrueba,2024.1.1,None,2024-04-30 17h32.07.958781 -0500,
