PreguntaOff,PreguntaOn,Colors,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,CondicionOff.started,Off.stopped,On.started,CondicionOn.started,On.stopped,CondicionOn.stopped,CondicionOff.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
None,29,brown,0,0,0,0,0,14,14,14,5.0627628000002005,,,,,,,,,,,,,,,5.049284100000477,5.0627628000002005,5.148954700000104,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,31,purple,0,0,0,0,0,15,15,15,5.162745800000266,,,,,,,,,,,,,,,5.149275100000523,5.162745800000266,5.249555700000201,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,33,green,0,0,0,0,0,16,16,16,5.262134500000684,,,,,,,,,,,,,,,5.249922700000752,5.262134500000684,5.349309400000493,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,35,red,0,0,0,0,0,17,17,17,5.362037200000486,,,,,,,,,,,,,,,5.3496005000006335,5.362037200000486,5.449393800000507,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,37,white,0,0,0,0,0,18,18,18,5.476257700000133,,,,,,,,,,,,,,,5.449712700000418,5.476257700000133,5.549054300000535,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,39,blue,0,0,0,0,0,19,19,19,5.5619495000000825,,,,,,,,,,,,,,,5.549324500000694,5.5619495000000825,5.649133600000823,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,1,1,1,0,0,0,0,6.675296100000196,,,,,,,,,,,,5.649502100000063,5.6747261000000435,6.648375700000543,6.659005600000455,6.675296100000196,6.74825360000068,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,1,1,1,0,1,1,1,6.7607339000005595,,,,,,,,,,,,,,,6.748520800000733,6.7607339000005595,6.848115300000245,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,1,1,1,0,2,2,2,6.860892100000456,,,,,,,,,,,,,,,6.848437000000558,6.860892100000456,6.947493300000133,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,1,1,1,0,3,3,3,6.961065299999973,,,,,,,,,,,,,,,6.947773800000505,6.961065299999973,7.04747370000041,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,1,1,1,0,4,4,4,7.075050800000099,,,,,,,,,,,,,,,7.047767300000487,7.075050800000099,7.147986100000708,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,1,1,1,0,5,5,5,7.174776500000007,,,,,,,,,,,,,,,7.148314600000049,7.174776500000007,7.247492400000738,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,1,1,1,0,6,6,6,7.260980200000631,,,,,,,,,,,,,,,7.247761300000093,7.260980200000631,7.3478720000002795,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,1,1,1,0,7,7,7,7.374720000000707,,,,,,,,,,,,,,,7.348265400000855,7.374720000000707,7.447729299999992,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,1,1,1,0,8,8,8,7.474701699999969,,,,,,,,,,,,,,,7.448043900000812,7.474701699999969,7.547369700000672,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,1,1,1,0,9,9,9,7.560296200000266,,,,,,,,,,,,,,,7.547640500000853,7.560296200000266,7.647367500000655,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,21,white,0,1,1,1,0,10,10,10,7.674787000000833,,,,,,,,,,,,,,,7.6476370000000315,7.674787000000833,7.746937500000058,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,23,blue,0,1,1,1,0,11,11,11,7.760083500000292,,,,,,,,,,,,,,,7.7473154000008435,7.760083500000292,7.846922800000357,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,25,yellow,0,1,1,1,0,12,12,12,7.86010990000068,,,,,,,,,,,,,,,7.847290700000485,7.86010990000068,7.946682900000269,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,27,orange,0,1,1,1,0,13,13,13,7.960018100000525,,,,,,,,,,,,,,,7.947043500000291,7.960018100000525,8.046500200000082,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,29,brown,0,1,1,1,0,14,14,14,8.06005610000011,,,,,,,,,,,,,,,8.046783200000391,8.06005610000011,8.146547500000452,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,31,purple,0,1,1,1,0,15,15,15,8.15985610000007,,,,,,,,,,,,,,,8.146873100000448,8.15985610000007,8.246495300000788,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,33,green,0,1,1,1,0,16,16,16,8.259537300000375,,,,,,,,,,,,,,,8.246812200000022,8.259537300000375,8.346710100000564,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,35,red,0,1,1,1,0,17,17,17,8.35956780000015,,,,,,,,,,,,,,,8.34703300000001,8.35956780000015,8.446217700000489,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,37,white,0,1,1,1,0,18,18,18,8.473701600000823,,,,,,,,,,,,,,,8.446595600000364,8.473701600000823,8.546607900000708,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,39,blue,0,1,1,1,0,19,19,19,8.573542300000554,,,,,,,,,,,,,,,8.546881500000381,8.573542300000554,8.645951500000592,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,2,2,2,0,0,0,0,9.672660000000178,,,,,,,,,,,,8.646340900000723,8.672107600000345,9.645788800000446,9.656552000000374,9.672660000000178,9.745354900000166,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,2,2,2,0,1,1,1,9.772561500000847,,,,,,,,,,,,,,,9.745671000000584,9.772561500000847,9.845326800000294,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,2,2,2,0,2,2,2,9.87243430000035,,,,,,,,,,,,,,,9.845651500000713,9.87243430000035,9.944840099999965,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,2,2,2,0,3,3,3,9.95826230000057,,,,,,,,,,,,,,,9.945124100000612,9.95826230000057,10.044600800000808,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,2,2,2,0,4,4,4,10.058170400000563,,,,,,,,,,,,,,,10.04487490000065,10.058170400000563,10.144777800000156,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,2,2,2,0,5,5,5,10.157799600000544,,,,,,,,,,,,,,,10.145067100000233,10.157799600000544,10.24494709999999,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,2,2,2,0,6,6,6,10.271994900000209,,,,,,,,,,,,,,,10.245215000000826,10.271994900000209,10.34459920000063,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,2,2,2,0,7,7,7,10.357614000000467,,,,,,,,,,,,,,,10.344895900000665,10.357614000000467,10.445010100000218,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,2,2,2,0,8,8,8,10.47197320000032,,,,,,,,,,,,,,,10.445351600000322,10.47197320000032,10.544677500000034,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,2,2,2,0,9,9,9,10.571846000000733,,,,,,,,,,,,,,,10.544949600000109,10.571846000000733,10.644419800000833,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
